Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_year_category,km_year_equal_category,Make_smart,km_per_euro,Style_Cabriolet,Style_Combi,Style_Coupe,Style_Crossover,Style_Hatchback,Style_Microvan,Style_Minivan,Style_Pickup,Style_Roadster,Style_SUV,Style_Sedan,Style_Universal
Renault,Grand Scenic,2017,Minivan,175000.0,1462.0,Diesel,Automatic,16000.0,5,35000.0,High,High_e,Renault,10.9,0,0,0,0,0,0,1,0,0,0,0,0
Mercedes,Vito,2010,Minivan,220000.0,2200.0,Diesel,Manual,7500.0,12,18333.0,High,Medium_e,Mercedes,29.3,0,0,0,0,0,0,1,0,0,0,0,0
Audi,A6,2009,Universal,148000.0,2995.0,Petrol,Automatic,13000.0,13,11385.0,Low,Low_e,Audi,11.4,0,0,0,0,0,0,0,0,0,0,0,1
Dacia,Logan,2011,Sedan,230000.0,1200.0,Metan/Propan,Manual,2800.0,11,20909.0,High,Medium_e,Dacia,82.1,0,0,0,0,0,0,0,0,0,0,1,0
Toyota,Urban Cruiser,2011,Sedan,192000.0,1400.0,Diesel,Manual,6800.0,11,17455.0,High,Medium_e,Toyota,28.2,0,0,0,0,0,0,0,0,0,0,1,0
Volkswagen,Rare,2005,Sedan,257000.0,3000.0,Diesel,Automatic,9000.0,17,15118.0,Medium,Low_e,Volkswagen,28.6,0,0,0,0,0,0,0,0,0,0,1,0
Toyota,Rare,2007,Hatchback,72000.0,1000.0,Petrol,Automatic,4400.0,15,4800.0,Low,Low_e,Toyota,16.4,0,0,0,0,1,0,0,0,0,0,0,0
Renault,Scenic,2012,Microvan,240000.0,1500.0,Diesel,Manual,6800.0,10,24000.0,High,Medium_e,Renault,35.3,0,0,0,0,0,1,0,0,0,0,0,0
Toyota,Land Cruiser Prado,2006,SUV,205000.0,2700.0,Metan/Propan,Automatic,14800.0,16,12812.0,Medium,Low_e,Toyota,13.9,0,0,0,0,0,0,0,0,0,1,0,0
Skoda,Superb,2017,Sedan,176000.0,2000.0,Diesel,Automatic,19450.0,5,35200.0,High,High_e,Skoda,9.0,0,0,0,0,0,0,0,0,0,0,1,0
Opel,Corsa,2006,Hatchback,164274.0,1300.0,Diesel,Manual,2999.0,16,10267.0,Low,Low_e,Opel,54.8,0,0,0,0,1,0,0,0,0,0,0,0
Volkswagen,Tiguan,2008,SUV,179000.0,1400.0,Petrol,Manual,7200.0,14,12786.0,Medium,Low_e,Volkswagen,24.9,0,0,0,0,0,0,0,0,0,1,0,0
Skoda,Fabia,2002,Hatchback,230000.0,1400.0,Petrol,Manual,950.0,20,11500.0,Low,Low_e,Skoda,242.1,0,0,0,0,1,0,0,0,0,0,0,0
BMW,7 Series,2016,Sedan,125000.0,2993.0,Diesel,Automatic,52500.0,6,20833.0,High,Medium_e,BMW,2.4,0,0,0,0,0,0,0,0,0,0,1,0
Rover,Rare,2001,Sedan,278000.0,2000.0,Diesel,Manual,2650.0,21,13238.0,Medium,Low_e,Rare cheap,104.9,0,0,0,0,0,0,0,0,0,0,1,0
Fiat,Rare,2004,Universal,200000.0,1600.0,Metan/Propan,Manual,3000.0,18,11111.0,Low,Low_e,Fiat,66.7,0,0,0,0,0,0,0,0,0,0,0,1
Dacia,Duster,2011,Crossover,202176.0,1500.0,Diesel,Manual,6900.0,11,18380.0,High,Medium_e,Dacia,29.3,0,0,0,1,0,0,0,0,0,0,0,0
Skoda,Superb,2009,Sedan,265000.0,1800.0,Petrol,Manual,5950.0,13,20385.0,High,Medium_e,Skoda,44.5,0,0,0,0,0,0,0,0,0,0,1,0
Volkswagen,Passat,2011,Universal,244000.0,1600.0,Diesel,Manual,9600.0,11,22182.0,High,Medium_e,Volkswagen,25.4,0,0,0,0,0,0,0,0,0,0,0,1
Skoda,Rapid,2016,Sedan,188000.0,1422.0,Diesel,Manual,7750.0,6,31333.0,High,Medium_e,Skoda,24.3,0,0,0,0,0,0,0,0,0,0,1,0
Nissan,Qashqai+2,2011,Microvan,207000.0,1500.0,Diesel,Manual,7800.0,11,18818.0,High,Medium_e,Nissan,26.5,0,0,0,0,0,1,0,0,0,0,0,0
Ford,Fusion,2018,Sedan,33339.0,2000.0,Plug-in Hybrid,Automatic,20800.0,4,8335.0,Low,Low_e,Ford,1.6,0,0,0,0,0,0,0,0,0,0,1,0
Ford,Focus,2017,Universal,160000.0,1500.0,Diesel,Manual,7200.0,5,32000.0,High,Medium_e,Ford,22.2,0,0,0,0,0,0,0,0,0,0,0,1
Mercedes,E Class,2008,Sedan,230000.0,1800.0,Metan/Propan,Automatic,7700.0,14,16429.0,Medium,Low_e,Mercedes,29.9,0,0,0,0,0,0,0,0,0,0,1,0
Mercedes,E Class,2000,Sedan,303000.0,2000.0,Metan/Propan,Automatic,3800.0,22,13773.0,Medium,Low_e,Mercedes,79.7,0,0,0,0,0,0,0,0,0,0,1,0
Dacia,Sandero,2012,Hatchback,111896.0,1200.0,Petrol,Manual,3499.0,10,11190.0,Low,Low_e,Dacia,32.0,0,0,0,0,1,0,0,0,0,0,0,0
